"","X","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"3253",3253,360470002001016,106.9375,18,72,16,21,31,54,0,0,0,77,0,6,1,0,0,0,0,0,0,12,0,0,0,6,4,0,86,3,1,12,0,4,83,23,16,27,22,23,78,28
"3254",3254,360470002001017,622.84765625,152,390,80,44,202,376,0,0,0,96,0,13,494,10,0,0,0,0,0,0,0,0,0,9,0,0,397,175,5,36,0,9,432,190,76,121,152,121,386,236
"3255",3255,360470002001018,58,7,34,15,5,12,39,0,0,0,0,0,52,3,1,0,0,0,0,0,0,0,0,0,0,0,0,49,5,0,1,0,1,45,11,5,11,14,19,44,12
"3256",3256,360470002001019,9.953125,6,1,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,2,0,0,0,0,5,3,0,0,2,0,5,3
"3257",3257,360470003011000,6.59765625,3,5,5,3,6,4,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,6,0,9,3,0,0,0,1,10,3,2,2,5,1,3,10
"3258",3258,360470003011001,177.85546875,44,106,25,10,28,137,0,0,0,0,0,1,0,0,4,76,5,66,0,1,0,0,1,9,12,0,133,17,0,20,0,5,160,15,11,27,28,65,79,96
"3259",3259,360470003012000,5.12109375,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,6,0,0,0,0,0,4,2,1,1,2,2,2,4
"3260",3260,360470003012001,25.06640625,4,18,9,6,12,13,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,13,0,26,3,0,2,0,0,19,12,7,5,7,8,17,14
"3261",3261,360470003013000,89.6015625,23,49,17,16,37,36,0,0,0,0,0,0,0,0,0,1,19,12,0,6,0,0,38,0,13,0,52,30,2,4,0,1,72,17,13,12,16,25,52,37
"3262",3262,360470003013001,63.50390625,18,31,14,20,26,17,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,4,0,28,10,0,56,4,0,1,0,2,56,7,6,20,13,6,30,33
