"","X","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"17498",17498,360810352002007,11.73046875,1,4,2,0,6,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2,1,0,0,0,0,7,0,0,0,0,6,1,0,3,1,2,1,6
"17499",17499,360810352002008,8.55078125,1,6,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,0,1,6,0,0,0,1,8,0,1,2,3,1,4,4
"17500",17500,360810352002009,-4.41015625,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,2,0
"17501",17501,360810352002010,16.046875,5,6,4,4,6,5,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,9,0,1,0,0,2,13,0,0,0,0,14,1,2,2,6,0,8,7
"17502",17502,360810352002011,19.44921875,4,11,5,4,10,6,0,0,1,0,0,2,0,5,0,1,2,0,0,1,1,4,0,1,2,0,5,13,0,1,0,1,18,2,3,5,6,2,11,9
"17503",17503,360810352002012,31.45703125,7,17,7,10,14,7,0,0,1,1,0,1,4,2,0,1,1,0,0,3,2,11,0,2,2,0,10,15,6,0,0,0,24,7,7,2,10,5,19,12
"17504",17504,360810353001000,59.828125,13,32,14,12,24,23,0,0,0,5,2,5,3,2,2,2,2,2,1,4,5,11,0,5,2,6,19,36,0,4,0,0,38,21,12,13,11,10,28,31
"17505",17505,360810353001001,112.16015625,29,60,23,27,52,33,0,0,0,5,7,3,9,10,0,2,3,2,3,11,10,24,2,10,9,2,49,54,0,6,0,3,71,41,14,22,30,17,56,56
"17506",17506,360810353001002,30.25,9,13,9,6,11,14,0,0,0,3,1,0,0,2,0,0,0,6,1,1,1,8,1,3,2,2,26,5,0,0,0,0,8,23,5,8,5,4,19,12
"17507",17507,360810353001003,59.69140625,19,21,20,18,22,20,0,0,0,4,1,4,1,5,1,2,4,2,1,2,1,11,1,9,5,6,38,9,3,10,0,0,23,37,9,15,9,8,32,28
"17508",17508,360810353001004,59.52734375,12,36,12,15,25,20,0,0,0,7,3,5,6,1,3,1,4,4,1,7,1,6,1,5,4,1,44,6,0,8,1,1,36,24,6,8,15,19,36,24
"17509",17509,360810353001005,55.828125,7,42,9,14,24,20,0,0,0,2,3,4,3,6,1,2,1,4,1,0,1,8,2,12,4,4,38,10,0,7,0,3,27,31,9,12,20,10,34,24
"17510",17510,360810353001006,-3.17578125,2,3,2,3,2,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,4,1,1,1,0,0,3,4,2,0,2,1,2,5
"17511",17511,360810353001007,20.3984375,6,10,6,10,8,4,0,0,0,1,2,1,3,1,0,1,0,1,1,2,2,4,0,2,1,0,11,6,4,1,0,0,8,14,3,7,3,3,7,15
"17512",17512,360810353001008,17.859375,3,6,9,1,11,6,0,0,0,0,0,1,1,1,0,0,0,2,0,1,1,6,0,3,2,0,8,5,0,5,0,0,11,7,1,3,3,8,4,14
"17513",17513,360810353002000,124.26171875,21,75,28,29,57,38,0,0,0,6,6,4,14,9,2,6,4,5,1,16,5,21,1,13,7,4,113,8,0,3,0,0,24,100,31,28,27,17,54,70
"17514",17514,360810353002002,66.30078125,17,34,15,12,28,26,0,0,0,6,6,2,9,2,4,4,2,5,1,5,4,8,1,6,0,1,54,4,2,2,0,4,28,38,14,9,12,14,41,25
"17515",17515,360810353002003,97.890625,25,47,24,16,42,38,0,0,0,7,5,0,13,3,3,7,3,6,2,2,7,17,0,10,6,5,68,1,2,23,0,2,46,50,18,16,14,23,49,47
"17516",17516,360810353002004,99.40625,31,53,17,29,46,26,0,0,0,6,9,1,16,7,3,1,3,5,2,4,10,13,3,12,3,3,71,16,3,6,1,4,34,67,19,10,21,20,50,51
"17517",17517,360810357001002,34.41015625,4,21,9,8,14,12,0,0,1,3,2,0,3,2,0,0,0,2,1,3,2,5,0,5,4,1,17,5,1,8,0,3,19,15,8,5,11,6,20,14
"17518",17518,360810357001003,52.25,11,34,8,9,20,24,0,0,0,2,1,2,3,1,1,5,4,4,0,5,5,10,1,4,2,3,31,18,1,2,0,1,28,25,8,13,11,10,24,29
"17519",17519,360810357001004,53.7421875,13,28,12,6,26,21,0,0,0,4,3,1,5,3,4,1,4,3,0,4,4,10,1,0,5,1,28,25,0,0,0,0,19,34,13,9,14,4,31,22
"17520",17520,360810357001005,56.4375,11,29,16,10,23,23,0,0,0,4,2,2,7,6,0,3,2,3,2,0,1,12,0,10,1,1,25,24,0,4,0,3,29,27,9,11,16,9,22,34
"17521",17521,360810357001006,49.65625,14,26,10,11,19,20,0,0,0,2,1,0,5,2,3,2,1,3,1,5,2,12,1,5,3,2,27,16,0,6,0,1,27,23,5,12,10,9,18,32
"17522",17522,360810357001007,24.90234375,8,12,6,5,14,7,0,0,0,0,2,1,1,3,0,1,2,0,0,0,3,5,0,4,3,1,17,7,0,1,0,1,7,19,3,7,4,4,9,17
"17523",17523,360810357001008,65.1015625,17,38,11,16,20,30,0,0,0,1,2,4,7,2,2,4,0,5,1,10,4,12,0,3,5,4,39,14,3,5,0,5,22,44,15,11,13,10,30,36
"17524",17524,360810357001009,4.4453125,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"17525",17525,360810357001010,23.8359375,6,16,3,5,11,9,0,0,0,1,1,0,3,1,1,0,2,0,1,2,3,3,1,5,0,1,12,9,3,1,0,0,15,10,3,1,11,4,12,13
"17526",17526,360810357002002,66.0859375,19,36,13,7,31,30,0,0,0,0,4,5,6,6,2,1,3,5,0,5,3,10,1,10,3,4,37,22,0,7,0,2,29,39,8,14,16,11,29,39
