"","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"1461","360050227031002",25,2,14,9,17,5,3,0,0,0,0,0,2,15,0,0,0,0,6,0,0,0,0,0,0,2,0,14,10,0,1,0,0,8,17,6,6,8,3,16,9
"1462","360050227031003",15,0,12,3,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,11,4,0,0,0,0,6,9,4,4,4,3,9,6
"1463","360050228001001",28,10,11,7,8,10,10,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,10,0,0,5,0,23,4,0,0,0,1,20,8,3,6,3,6,18,10
"1464","360050228001002",3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,2,1,1,0,1,1,1,2
"1465","360050228001004",59,6,33,20,10,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,47,8,0,3,0,1,38,21,8,9,12,24,29,30
"1466","360050228001007",2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,1,1,1,1
"1467","360050228002000",23,6,13,4,2,10,11,0,0,0,0,0,2,1,0,0,0,0,9,0,0,0,11,0,0,0,0,20,1,0,2,0,0,15,8,2,1,7,7,5,18
"1468","360050228002001",285,82,161,42,103,171,11,0,0,0,10,0,0,3,1,0,0,0,1,0,221,0,46,0,0,1,2,116,155,5,6,1,2,192,93,51,56,65,31,176,109
"1469","360050228003000",30,4,21,5,4,17,9,0,0,0,0,0,0,15,0,0,0,7,0,0,0,0,3,0,3,2,0,22,1,0,6,0,1,13,17,5,5,7,9,17,13
"1470","360050228004000",11,0,11,0,8,1,2,0,0,0,0,0,1,4,0,0,0,0,3,0,2,0,0,0,0,1,0,6,1,0,3,0,1,10,1,2,3,2,4,6,5
"1471","360050229011000",3,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,3,0,0,0,1,2,1,2
"1472","360050229011001",25,10,15,0,14,10,1,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,18,5,0,2,0,0,14,11,5,5,4,1,10,15
"1473","360050229012000",2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,1,2,0
"1474","360050229012001",4,0,3,1,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,4,2,1,1,0,1,3
"1475","360050229013001",2166,249,1374,543,59,354,1753,0,0,0,0,0,0,33,0,12,6,0,21,1,28,0,1989,5,64,0,7,885,877,23,322,7,52,1553,613,220,349,612,736,812,1354
"1476","360050229015000",8,2,4,2,5,3,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,2,0,0,4,2,0,2,0,0,5,3,0,1,3,2,4,4
"1477","360050229015001",9,4,5,0,7,2,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,9,1,1,1,2,6,3
"1478","360050229021001",9,5,4,0,4,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,2,0,8,1,0,0,0,0,2,7,0,1,3,0,4,5
"1479","360050229021003",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"1480","360050229021004",5,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,1,4,1
"1481","360050229022002",30,4,17,9,19,7,4,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1,0,0,24,5,0,1,0,0,9,21,14,5,6,1,21,9
"1482","360050229022003",4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,4,2,1,1,0,2,2
"1483","360050229022004",3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,2,1,0,1,0,3,0
