"X","id","s000","s000_d0","s000_d1","s000_d2","s000_d3","coords.x1","coords.x2","optional"
35567,360050046001010,23,19,4,0,0,1834698.25,587006.125,TRUE
35568,360050046001011,15,15,0,0,0,1834872,586849.1875,TRUE
35569,360050048001001,23,18,5,0,0,1834046.625,587574.4375,TRUE
35570,360050048001002,32,29,3,0,0,1834026.375,587423.75,TRUE
35571,360050048002000,49,44,4,1,0,1833955.375,587383.5625,TRUE
35572,360050048002001,5,5,0,0,0,1834013.75,587245.3125,TRUE
35573,360050048002002,1,1,0,0,0,1834069.625,587116,TRUE
35574,360050050011000,5,5,0,0,0,1833781.5,586990.1875,TRUE
35575,360050050011001,3,3,0,0,0,1833708.875,586960.1875,TRUE
35576,360050050012000,8,8,0,0,0,1833853.625,587021.3125,TRUE
35577,360050050013000,2,2,0,0,0,1833925.625,587053,TRUE
35578,360050050014000,11,11,0,0,0,1833997.875,587084.3125,TRUE
35579,360050050021000,64,62,2,0,0,1833747.5,587268.3125,TRUE
35580,360050050021001,65,58,7,0,0,1833674.25,587239.5625,TRUE
35581,360050050022000,8,8,0,0,0,1833601.125,587210.5625,TRUE
35582,360050050023000,38,38,0,0,0,1833820.75,587297.1875,TRUE
35583,360050050024000,47,43,4,0,0,1833885.5,587346.875,TRUE
35584,360050051001002,128,93,35,0,0,1830025.625,585242.9375,TRUE
35585,360050051001003,196,179,17,0,0,1829992.75,584956.375,TRUE
35586,360050051001006,57,49,8,0,0,1829926.375,584794.75,TRUE
35587,360050051001011,60,49,11,0,0,1829746,584665.4375,TRUE
35588,360050051001017,256,205,50,1,0,1830023.125,584520.1875,TRUE
35589,360050051001018,18,14,4,0,0,1829982.25,584545.25,TRUE
35590,360050051001019,185,160,25,0,0,1829932.875,584574.1875,TRUE
35591,360050051001021,83,67,15,1,0,1830123,584540.125,TRUE
35592,360050051001023,72,55,17,0,0,1830074.625,584460.4375,TRUE
35593,360050051001024,22,20,2,0,0,1830142.125,584424,TRUE
35594,360050051001025,71,64,7,0,0,1830179.5,584500.9375,TRUE
35595,360050051001026,156,144,12,0,0,1829947.625,584261.875,TRUE
35596,360050051002000,1,1,0,0,0,1830314.125,585077.9375,TRUE
35597,360050051002002,99,95,4,0,0,1830204.125,585026.8125,TRUE
35598,360050051002003,7,5,2,0,0,1830136.25,585040.125,TRUE
35599,360050051002004,256,202,54,0,0,1830099.75,584904,TRUE
35600,360050051002005,20,16,4,0,0,1830167.25,584884.4375,TRUE
35601,360050051002008,110,96,14,0,0,1830202,584726.9375,TRUE
35602,360050051002009,24,22,2,0,0,1830123.25,584718.8125,TRUE
35603,360050051002010,145,123,22,0,0,1830059.5,584744.625,TRUE
35604,360050051002011,2,2,0,0,0,1830224.125,584596.5625,TRUE
35605,360050051002012,19,16,3,0,0,1830164.125,584616.625,TRUE
35606,360050051003001,49,44,5,0,0,1830576.25,585082.25,TRUE
35607,360050052001000,89,80,9,0,0,1833453.75,587154,TRUE
35608,360050052001001,66,63,3,0,0,1833398.875,587089.0625,TRUE
35609,360050052001002,55,38,15,2,0,1833326.25,587107.25,TRUE
35610,360050052001003,97,86,11,0,0,1833390.375,586827,TRUE
35611,360050052001004,62,59,3,0,0,1833488.875,586866.625,TRUE
35612,360050052002000,14,14,0,0,0,1833528,587181.625,TRUE
35613,360050053001000,57,50,7,0,0,1829526.25,589039.5,TRUE
35614,360050054001000,23,17,6,0,0,1833777.125,587597.5625,TRUE
35615,360050054001001,20,18,2,0,0,1833706.25,587564.375,TRUE
35616,360050054002000,38,34,4,0,0,1833633.25,587535.3125,TRUE
35617,360050054002001,16,13,3,0,0,1833559.75,587507.125,TRUE
35618,360050054002002,6,5,1,0,0,1833480.75,587488.9375,TRUE
35619,360050054003000,6,6,0,0,0,1833417.5,587446.6875,TRUE
35620,360050054003001,2,2,0,0,0,1833315.625,587454.75,TRUE
35621,360050054003002,4,2,2,0,0,1833380.375,587356.625,TRUE
35622,360050054004000,35,33,2,0,0,1833846.625,587635.1875,TRUE
35623,360050056002000,1,1,0,0,0,1833523.875,587790.9375,TRUE
35624,360050056003000,9,8,1,0,0,1833601.75,587981.1875,TRUE
35625,360050056003001,6,6,0,0,0,1833523.5,587967.875,TRUE
35626,360050056003002,11,11,0,0,0,1833406.625,587838.8125,TRUE
35627,360050059021000,84,79,5,0,0,1830215.75,586297.25,TRUE
35628,360050059021001,12,11,1,0,0,1830195.375,586217.4375,TRUE
35629,360050059022000,44,39,5,0,0,1830164.75,586063.8125,TRUE
35630,360050059022001,4,2,2,0,0,1830130.5,585818.4375,TRUE
35631,360050060001001,3,3,0,0,0,1833736,588669.125,TRUE
35632,360050060001002,9,8,1,0,0,1833574.5,588631.5,TRUE
35633,360050060001006,13,13,0,0,0,1833550.75,588547.25,TRUE
35634,360050060001010,85,55,28,2,0,1833799.5,588577.125,TRUE
35635,360050060001011,2,2,0,0,0,1833773.375,588511.1875,TRUE
35636,360050060001021,34,23,11,0,0,1833536.875,588167.3125,TRUE
35637,360050061001000,1525,1384,141,0,0,1830393.25,586227.75,TRUE
35638,360050061002001,44,39,5,0,0,1830279.875,586010.125,TRUE
35639,360050061003004,71,65,6,0,0,1830239.625,585646.125,TRUE
35640,360050061003005,99,92,7,0,0,1830073.375,585470.9375,TRUE
35641,360050061003006,50,47,3,0,0,1830040.5,585416.125,TRUE
35642,360050062001000,5,5,0,0,0,1833866.5,588178.9375,TRUE
35643,360050062001003,7,5,2,0,0,1833885.25,587944.4375,TRUE
35644,360050062001004,29,28,1,0,0,1833813.25,587913,TRUE
35645,360050062002000,17,17,0,0,0,1833624,588068.3125,TRUE
35646,360050062003003,5,5,0,0,0,1833756.125,588081.1875,TRUE
35647,360050062004000,44,42,2,0,0,1833917.5,587673.125,TRUE
35648,360050062005000,2,2,0,0,0,1834053,587753.9375,TRUE
35649,360050062005001,50,48,2,0,0,1833985.25,587714.75,TRUE
35650,360050063001000,8,6,2,0,0,1829896,587086.6875,TRUE
35651,360050063001003,161,130,30,1,0,1829777.5,586579.1875,TRUE
35652,360050063001004,12,10,2,0,0,1829736.25,586277.5,TRUE
