"","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"66","360050004004001",40,6,27,7,5,11,24,0,0,0,1,0,3,9,3,1,3,0,4,0,0,1,12,2,1,0,0,22,14,0,3,0,1,17,23,7,8,9,10,16,24
"67","360050004004002",24,5,16,3,6,4,14,0,0,0,1,2,3,2,1,0,2,1,1,0,2,0,3,1,3,2,0,14,10,0,0,0,0,7,17,4,5,3,7,11,13
"68","360050004004003",2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2
"69","360050004004007",41,8,29,4,9,15,17,0,0,1,1,0,0,5,2,0,3,1,1,0,7,2,12,0,4,1,1,24,17,0,0,0,0,18,23,5,7,13,8,14,27
"70","360050016001000",1399,330,808,261,358,533,508,1,1,9,36,33,32,146,80,38,38,43,51,10,120,151,350,35,108,44,73,617,685,20,34,3,40,751,648,196,250,368,255,614,785
"71","360050016002000",69,21,33,15,18,31,20,0,0,0,1,2,2,12,4,2,5,2,3,0,4,6,15,0,6,4,1,51,14,0,1,0,3,22,47,14,8,17,9,36,33
"72","360050016002001",73,15,44,14,14,32,27,0,0,1,2,1,4,7,3,3,5,2,6,1,9,3,15,0,4,6,1,48,18,1,4,0,2,30,43,10,15,18,15,30,43
"73","360050016002002",2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,2
"74","360050016002004",67,21,35,11,16,26,25,0,0,0,3,0,1,7,2,2,4,3,4,2,4,2,21,2,5,3,2,37,18,1,6,1,4,31,36,9,10,11,16,23,44
"75","360050016002005",10,4,5,1,4,5,1,0,0,0,0,1,0,2,0,0,1,0,0,1,0,2,3,0,0,0,0,6,3,0,1,0,0,8,2,2,2,0,2,4,6
"76","360050016003000",193,55,110,28,49,88,56,0,0,0,4,3,4,20,10,4,7,6,8,2,15,8,75,6,15,5,1,96,89,2,2,1,3,90,103,32,39,51,16,78,115
"77","360050016004001",73,17,43,13,19,35,19,0,0,0,4,3,2,12,2,1,1,3,5,0,6,4,15,2,11,1,1,65,7,0,1,0,0,60,13,8,14,14,20,35,38
"78","360050016004005",7,3,4,0,2,5,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,2,0,0,6,1,0,0,0,0,2,5,0,2,2,0,4,3
"79","360050016004006",88,23,50,15,22,29,37,0,0,0,5,3,4,8,2,3,3,5,5,0,6,7,25,3,3,4,2,58,19,0,7,0,4,47,41,12,14,21,18,44,44
"80","360050016004007",71,15,51,5,19,28,24,0,0,0,1,1,1,7,2,3,1,2,4,0,5,3,33,3,3,2,0,40,28,1,1,0,1,36,35,8,10,26,12,31,40
"81","360050016004008",68,18,40,10,17,28,23,0,0,0,3,1,2,7,3,3,1,3,3,0,4,10,18,0,8,2,0,41,17,0,6,1,3,41,27,9,12,16,13,22,46
